nso,nna,ndo,fso,fna,fdo,lso,lna,ldo,ncost,fcost,lcost,nlimit,export1,export2,pstar
32.256,0.20800000000000002,33.872,0.0,0.003,0.001,0.001,0.003,0.003,5.3746121978962496,1.0863646829631621,8.7850235678173,22.0,0.005764717475711999,1.957298777733312,0.048
32.256,0.064,33.872,0.0,0.004,0.001,0.002,0.004,0.003,5.406191823586459,1.0816408641143536,8.776421898193055,21.0,0.005861727383616001,2.0128557011247366,0.048
32.256,0.064,33.872,0.0,0.004,0.001,0.002,0.004,0.004,5.406191823586459,1.0816408641143536,8.7760030608679,21.0,0.005959489992768001,2.0127303099521283,0.048
32.24,0.064,33.872,0.0,0.004,0.001,0.002,0.004,0.004,5.386728741961703,1.0816408641143536,8.7760030608679,21.0,0.006065045273664,2.012597657426304,0.048
32.24,0.064,33.872,0.0,0.004,0.001,0.002,0.005,0.004,5.386728741961703,1.0816408641143536,8.771096663215793,21.0,0.006179190204096,2.0124574336114565,0.048
32.24,0.064,33.872,0.0,0.004,0.002,0.003,0.005,0.005,5.386728741961703,1.0813829974912186,8.76698719919879,21.0,0.0063027660384,2.012309195742144,0.048
32.24,0.064,33.872,0.0,0.005,0.002,0.003,0.006,0.005,5.386728741961703,1.0766757935874265,8.762083295399677,21.0,0.006436702584,2.012152323946752,0.048
32.24,0.064,33.872,0.0,0.005,0.002,0.004,0.006,0.006,5.386728741961703,1.0766757935874265,8.757975982809965,21.0,0.006582106754496,2.011986021247488,0.048
32.24,0.064,33.872,0.0,0.005,0.002,0.004,0.006999999999999999,0.006,5.386728741961703,1.0766757935874265,8.753074572863849,21.0,0.006740041186944001,2.011809357836928,0.048
32.224000000000004,0.064,33.872,0.0,0.006,0.002,0.005,0.008,0.006999999999999999,5.367303295700099,1.0719852046286509,8.744070495608309,21.0,0.006912011283840001,2.011621049695296,0.048
32.224000000000004,0.064,33.872,0.0,0.006,0.002,0.005,0.008,0.008,5.367303295700099,1.0719852046286509,8.743652365023573,21.0,0.007099655277312,2.011419458590464,0.049
32.224000000000004,0.064,33.872,0.0,0.006,0.002,0.006,0.009000000000000001,0.009000000000000001,5.367303295700099,1.0719852046286509,8.734653109733426,21.0,0.0073056740365439994,2.0112021050359683,0.049
32.224000000000004,0.064,33.872,0.0,0.006999999999999999,0.003,0.006999999999999999,0.01,0.009000000000000001,5.367303295700099,1.0670537386265615,8.726076276938095,21.0,0.007527189586176001,2.010971911283712,0.049
32.208,0.064,33.872,0.0,0.006999999999999999,0.003,0.008,0.011000000000000001,0.01,5.347915484801637,1.0670537386265615,8.717086135523418,21.0,0.007798826183616001,2.010693987417024,0.049
32.208,0.064,33.872,0.0,0.008,0.003,0.009000000000000001,0.012,0.012,5.347915484801637,1.062396379557819,8.707683215544712,21.0,0.008088129122112,2.01040149656736,0.049
32.208,0.064,33.872,0.0,0.009000000000000001,0.004,0.01,0.013000000000000001,0.013000000000000001,5.347915484801637,1.0574985180805672,8.698702541375718,21.0,0.008456997010176001,2.010032982891648,0.049
32.192,0.064,33.872,0.0,0.009000000000000001,0.004,0.012,0.015,0.015,5.328565309266336,1.0574985180805672,8.680755128878594,21.0,0.009033477613056,2.0094638964716163,0.05
32.176,0.064,33.872,0.0,0.01,0.005,0.013999999999999999,0.016,0.018000000000000002,5.309252769094187,1.052617646183136,8.667286405185093,21.0,0.009735703600896001,2.008776990168,0.05
32.16,0.064,33.872,0.0,0.012,0.006,0.019,0.02,0.024,5.289977864285181,1.0431628645768498,8.62698522569187,21.0,0.011151490371840002,2.007404417304,0.051
32.176,0.064,33.872,0.0,0.011000000000000001,0.005,0.015,0.018000000000000002,0.018000000000000002,5.309252769094187,1.0480101319494433,8.653868849735067,21.0,0.009788791177152001,2.0087232827201285,0.05
32.176,0.064,33.872,0.0,0.012,0.005,0.017,0.02,0.02,5.309252769094187,1.0434192326607667,8.635967890040826,21.0,0.010245725111232,2.0082791889838085,0.05
32.16,0.064,33.872,0.0,0.013000000000000001,0.006,0.019,0.022000000000000002,0.022000000000000002,5.289977864285181,1.0385885802331898,8.618085511467733,21.0,0.010746404270784,2.0077943608270084,0.05
32.16,0.064,33.872,0.0,0.013999999999999999,0.006,0.021,0.024,0.024,5.289977864285181,1.0340309108345465,8.600221714015795,21.0,0.011295079204032,2.0072646362545923,0.051
32.144,0.064,33.872,0.0,0.016,0.006999999999999999,0.023,0.026000000000000002,0.026000000000000002,5.270740594839336,1.0247094234231968,8.58237649768501,21.0,0.011896398948096002,2.006685454782528,0.051
32.144,0.064,33.872,0.0,0.017,0.006999999999999999,0.025,0.028999999999999998,0.028999999999999998,5.270740594839336,1.020201598859603,8.55928889709762,21.0,0.012555543858623999,2.0060519017144323,0.051
32.128,0.064,33.872,0.0,0.018000000000000002,0.008,0.027999999999999997,0.032,0.031,5.2515409607566435,1.0154547704267176,8.533005685641855,21.0,0.013278048503616002,2.005358575311936,0.052000000000000005
32.111999999999995,0.064,33.872,0.0,0.02,0.009000000000000001,0.031,0.035,0.034,5.232378962037093,1.006266951845109,8.506349861511147,21.0,0.014070155875776001,2.004599586794688,0.052000000000000005
32.096,0.064,33.872,0.0,0.021,0.01,0.035,0.038,0.038,5.213254598680703,1.0015707175168822,8.475695403244499,21.0,0.014938551733248,2.00376842751072,0.052000000000000005
32.08,0.064,33.872,0.0,0.023,0.011000000000000001,0.038,0.042,0.040999999999999995,5.194167870687465,0.9924833378749818,8.444315523349577,21.0,0.015890585982336,2.0028581017660803,0.053
32.064,0.048,33.872,0.0,0.025,0.012,0.042,0.046,0.046,5.178727089483479,0.9834627926479519,8.408558109729968,21.0,0.016934316954048,2.0018608168890237,0.053
32.048,0.048,33.872,0.0,0.027000000000000003,0.013000000000000001,0.047,0.05,0.05,5.159715632216545,0.9745090818357925,8.369683229165478,21.0,0.018078644233728,2.0007681603361918,0.054000000000000006
32.032,0.048,33.872,0.0,0.028999999999999998,0.013999999999999999,0.051,0.055,0.055,5.140741810312755,0.9656222054385037,8.329302955387867,21.0,0.019333175831424,1.9995709668629764,0.054000000000000006
32.0,0.048,33.872,0.0,0.032,0.015,0.057,0.06,0.06,5.102907072594647,0.9525435630677396,8.28185073159799,21.0,0.020708493841152004,1.9982590085877119,0.055
31.984,0.048,33.872,0.0,0.034,0.017,0.063,0.066,0.066,5.08404615678032,0.9435713382891576,8.229374206511325,21.0,0.022216242993984,1.996821304927488,0.055999999999999994
31.951999999999998,0.048,33.872,0.0,0.037000000000000005,0.018000000000000002,0.069,0.073,0.07200000000000001,5.046437231241115,0.9307430439980546,8.172328095866618,21.0,0.023869086381504003,1.995245724109248,0.057
31.92,0.048,33.872,0.0,0.04,0.02,0.076,0.08,0.079,5.008978847154526,0.9178135356502509,8.111529402261688,21.0,0.025680926838528,1.9935190274463361,0.057999999999999996
31.888,0.048,33.872,0.0,0.043,0.022000000000000002,0.084,0.087,0.087,4.97167100452054,0.9050350603468138,8.04702330566969,21.0,0.027667039772736,1.9916266479557763,0.057999999999999996
31.855999999999998,0.048,33.872,0.0,0.046,0.024,0.092,0.096,0.096,4.9345137033391575,0.8924076180877434,7.973013109013621,21.0,0.029844073164672,1.9895526460817283,0.059000000000000004
31.824,0.048,33.872,0.0,0.05,0.027000000000000003,0.102,0.105,0.105,4.897506943610391,0.8757231767419683,7.892353026900851,21.0,0.032230357503552,1.9872797096954882,0.061
